new_clipi-j,event_order,id,score,event_type
clip15-1,15,3,0.136,single_activity
clip15-2,15,3,0.264,single_activity
clip15-3,15,3,0.136,single_activity
clip15-4,15,3,0.036,single_activity
clip15-5,15,3,0.136,single_activity
clip15-6,15,3,0.136,single_activity
clip15-7,15,3,0.251,single_activity
clip15-8,15,3,0.036,single_activity
clip15-9,15,3,0.302,single_activity
clip15-10,15,3,0.136,single_activity
clip15-11,15,3,0.136,single_activity
clip15-12,15,3,0.136,single_activity
clip15-13,15,3,0.036,single_activity
clip15-14,15,3,0.136,single_activity
clip15-15,15,3,0.136,single_activity
clip15-16,15,3,0.036,single_activity
clip15-17,15,3,0.136,single_activity
clip15-18,15,3,0.136,single_activity
clip15-19,15,3,0.136,single_activity
clip15-20,15,3,0.036,single_activity
clip15-1,15,4,0.115,single_activity
clip15-2,15,4,0.036,single_activity
clip15-3,15,4,0.136,single_activity
clip15-4,15,4,0.036,single_activity
clip15-5,15,4,0.126,single_activity
clip15-6,15,4,0.036,single_activity
clip15-7,15,4,0.036,single_activity
clip15-8,15,4,0.036,single_activity
clip15-9,15,4,0.036,single_activity
clip15-10,15,4,0.225,single_activity
clip15-11,15,4,0.136,single_activity
clip15-12,15,4,0.036,single_activity
clip15-13,15,4,0.036,single_activity
clip15-14,15,4,0.036,single_activity
clip15-15,15,4,0.036,single_activity
clip15-16,15,4,0.036,single_activity
clip15-17,15,4,0.126,single_activity
clip15-18,15,4,0.136,single_activity
clip15-19,15,4,0.136,single_activity
clip15-20,15,4,0.136,single_activity
clip16-1,16,0,0.278,all_activity
clip16-2,16,0,0.17,all_activity
clip16-3,16,0,0.246,all_activity
clip16-4,16,0,0.333,all_activity
clip16-5,16,0,0.454,all_activity
clip16-6,16,0,0.226,all_activity
clip16-7,16,0,0.176,all_activity
clip16-8,16,0,0.328,all_activity
clip16-9,16,0,0.214,all_activity
clip16-10,16,0,0.41,all_activity
clip16-11,16,0,0.368,all_activity
clip16-12,16,0,0.297,all_activity
clip16-13,16,0,0.416,all_activity
clip16-14,16,0,0.214,all_activity
clip16-15,16,0,0.505,all_activity
clip16-16,16,0,0.164,all_activity
clip16-17,16,0,0.391,all_activity
clip16-18,16,0,0.136,all_activity
clip16-19,16,0,0.036,all_activity
clip16-1,16,1,0.036,all_activity
clip16-2,16,1,0.036,all_activity
clip16-3,16,1,0.036,all_activity
clip16-4,16,1,0.136,all_activity
clip16-5,16,1,0.136,all_activity
clip16-6,16,1,0.036,all_activity
clip16-7,16,1,0.036,all_activity
clip16-8,16,1,0.225,all_activity
clip16-9,16,1,0.036,all_activity
clip16-10,16,1,0.136,all_activity
clip16-11,16,1,0.136,all_activity
clip16-12,16,1,0.036,all_activity
clip16-13,16,1,0.225,all_activity
clip16-14,16,1,0.136,all_activity
clip16-15,16,1,0.136,all_activity
clip16-16,16,1,0.036,all_activity
clip16-17,16,1,0.136,all_activity
clip16-18,16,1,0.036,all_activity
clip16-19,16,1,0.036,all_activity
clip16-1,16,2,0.136,all_activity
clip16-2,16,2,0.036,all_activity
clip16-3,16,2,0.225,all_activity
clip16-4,16,2,0.136,all_activity
clip16-5,16,2,0.136,all_activity
clip16-6,16,2,0.036,all_activity
clip16-7,16,2,0.036,all_activity
clip16-8,16,2,0.136,all_activity
clip16-9,16,2,0.036,all_activity
clip16-10,16,2,0.136,all_activity
clip16-11,16,2,0.136,all_activity
clip16-12,16,2,0.136,all_activity
clip16-13,16,2,0.136,all_activity
clip16-14,16,2,0.136,all_activity
clip16-15,16,2,0.136,all_activity
clip16-16,16,2,0.136,all_activity
clip16-17,16,2,0.136,all_activity
clip16-18,16,2,0.136,all_activity
clip16-19,16,2,0.198,all_activity
clip16-1,16,3,0.136,all_activity
clip16-2,16,3,0.036,all_activity
clip16-3,16,3,0.136,all_activity
clip16-4,16,3,0.136,all_activity
clip16-5,16,3,0.136,all_activity
clip16-6,16,3,0.036,all_activity
clip16-7,16,3,0.036,all_activity
clip16-8,16,3,0.036,all_activity
clip16-9,16,3,0.136,all_activity
clip16-10,16,3,0.136,all_activity
clip16-11,16,3,0.136,all_activity
clip16-12,16,3,0.036,all_activity
clip16-13,16,3,0.136,all_activity
clip16-14,16,3,0.136,all_activity
clip16-15,16,3,0.225,all_activity
clip16-16,16,3,0.136,all_activity
